Rank,Name,Net Worth,Real Time Wealth,Age,State,Source of Wealth,Philanthropic Score,profile,url
15,MacKenzie Scott,$58.50 ,$58.70 ,51,Washington,Amazon,4,"MacKenzie Scott is an author and the ex-wife of Amazon founder Jeff Bezos, to whom she was married for 25 years. They divorced in mid 2019.
As part of the divorce settlement, Bezos transferred 25% of his Amazon stake to Scott, which was 4% of the company.
In May 2019, shortly after she announced the terms of the divorce on Twitter, she signed the Giving Pledge.
Scott and Bezos met in 1992 when they both worked at hedge fund D.E. Shaw. They married the next year and moved to Seattle in 1994.
Scott, who has published two novels, was a student of author Toni Morrison at Princeton and worked as a research assistant for her.
In 2020 she announced just over $5.8 billion in gifts to some 500 nonprofits; in June 2021, Scott said she gave another $2.74 billion to 286 groups.",https://www.forbes.com/profile/mackenzie-scott/
16,Charles Koch,$51 ,$53.20 ,85,Kansas,Koch Industries,2,"Charles Koch has been chairman and CEO of Koch Industries, America's largest private company by revenue, since 1967.
The diversified company has some $115 billion in revenues from businesses including pipelines, chemicals, Dixie cups, and Stainmaster carpet.
His father, Fred Koch, improved a method of refining heavy oil into gasoline in 1927 and started the family business in 1940.
The Kansas native owns a 42% stake in the firm, as did his brother David, who died in August 2019.
In 1983 Charles and David bought their two other brothers' stakes in Koch Industries, reportedly for nearly $800 million.
His son Chase heads the company's venture capital arm, which has invested in hybrid cloud firm D2iQ and 3D metal printing startup Desktop Metal.",https://www.forbes.com/profile/charles-koch/
16,Julia Koch & family,$51 ,$53.20 ,59,New York,Koch Industries,2,"Julia Koch and her three children inherited a 42% stake in Koch Industries from her husband, David, who died in August 2019 at age 79.
An Iowa native, Koch moved to New York City in the 1980s and worked as an assistant to fashion designer Adolfo.
She worked with many of his high-profile clients, including First Lady Nancy Reagan.
Julia met David via a blind date in 1991; they ran into each other again six months later, began dating and got married in 1996.
With her late husband, she donated $10 million to Mount Sinai Medical Center and $10 million to Stanford Children's Hospital to study food allergies.",https://www.forbes.com/profile/julia-koch/
18,Michael Dell,$50.10 ,$59.40 ,56,Texas,Dell computers,2,"Michael Dell is the chairman and CEO of Dell Technologies, which was formed in 2016 when Dell merged with computer storage giant EMC.
The estimated $60 billion Dell-EMC merger, which was finalized in 2016, was the largest technology acquisition ever.
In late 2018 Dell Technologies returned to public markets through a complicated financial restructuring.
Much of Dell's fortune lies in his private investment firm MSD Capital, which has stakes in hotels and restaurants.
In May 2017 Dell donated $1 billion to his foundation, which focuses on child poverty; it makes both impact investments and charitable donations.",https://www.forbes.com/profile/michael-dell/
19,Stephen Schwarzman,$37.40 ,$40.50 ,74,New York,investments,2,"The son of a dry goods store owner, Stephen Schwarzman founded private equity firm Blackstone with fellow billionaire Peter Peterson in 1985.
Initially a boutique merger-and-acquisition advisory business, Blackstone grew into the world's largest buyout firm, with $684 billion in assets.
While Peter Peterson (d. 2018) retired shortly after Blackstone's 2007 IPO, Schwarzman still presides over the business as chairman and CEO.
Schwarzman got his start on Wall Street at Lehman Brothers; he writes in his 2019 memoir about mistakes by management at that firm.
He started his first business, a lawn-mowing operation, at age 14, employing his younger twin brothers to mow while he brought in the clients.",https://www.forbes.com/profile/stephen-schwarzman/
20,Len Blavatnik,$36.70 ,$41.70 ,64,Ukraine,"music, chemicals",2,"Born in Ukraine, raised north of Moscow, Len Blavatnik emigrated to the U.S. in 1978 for school; he studied computer science at Columbia University.
He made a fortune selling his stake in Russian oil company TNK-BP for $7 billion in 2013.
After purchasing Warner Music in 2011 for $3.3 billion, he took the company public in June 2020 at quadruple the value.
His investment firm Access Industries holds stakes in chemicals firm LyondellBasell, e-commerce firm Rocket Internet and fashion label Tory Burch.
Blavatnik says he has given or pledged over $700 million to philanthropy, mostly to universities, including Oxford, Stanford and Harvard.
He is a dual citizen of the U.S. and the U.K.
The Blavatniks have given to both political parties in the U.S., from Trump's inaugural committee to Pete Buttigieg's presidential campaign.",https://www.forbes.com/profile/len-blavatnik/
21,Jacqueline Mars,$31.80 ,$31.60 ,81,Virginia,"candy, pet food",N/A,"Jacqueline Mars owns an estimated one-third of Mars, the world's largest candymaker, founded by her grandfather.
She worked for the company for nearly 20 years and served on the board until 2016.
Her son Stephen Badger is on Mars' board of directors.
Mars serves on the board of the National Archives and was formerly on the board of the Washington National Opera.
Her brother John owns an estimated third of Mars; her late brother Forrest Jr's. four daughters own the rest.",https://www.forbes.com/profile/jacqueline-mars/
21,John Mars,$31.80 ,$31.60 ,85,Wyoming,"candy, pet food",N/A,"John and his siblings Jacqueline and Forrest Jr. (died July 2016) inherited stakes in the candy firm Mars when their father died in 1999.
He and Jacqueline each own an estimated one-third of the company. His late brother Forrest Jr.'s four daughters own the rest.
The $40 billion (sales) candy, petcare and food company was founded by John's grandfather, Frank, in 1911.
Mars is also a big name in pet care, with brands including Pedigree and Whiskas, as well as food like Ben's Original rice.",https://www.forbes.com/profile/john-mars/
23,Daniel Gilbert,$30.90 ,$30.60 ,59,Michigan,Quicken Loans,1,"Dan Gilbert cofounded what would become Quicken Loans, the largest mortgage lender in the U.S., in 1985 at 22 years old.
Quicken, which originated $320 billion in mortgages in 2020, went public as Rocket Companies in August 2020 at a $36 billion valuation.
He also owns the NBA's Cleveland Cavaliers.
He and his companies have invested $5.6 billion to purchase and rehab a swath of buildings in downtown Detroit, with a plan to create 24,000 jobs.
He also cofounded online sneaker sale platform StockX, which became a unicorn in June 2019 and is now valued at $3.8 billion.",https://www.forbes.com/profile/daniel-gilbert/
24,Miriam Adelson,$30.40 ,$29.70 ,75,Nevada,casinos,2,"Miriam Adelson is the widow of Sheldon Adelson, the former CEO and chairman of casino company Las Vegas Sands, who died at 87 in January 2021.
She now owns more than half of the $48 billion (market cap) gambling empire, which has casinos in Las Vegas, Singapore and Macao.
As GOP megadonors, Miriam and Sheldon Adelson donated $180 million to Republican campaigns and political action committees in 2020.
Born in Israel, she became a medical doctor focusing on addiction.
She and Sheldon founded the Sheldon G. Adelson Research Clinic in Las Vegas, which treats people for opioid use disorder.",https://www.forbes.com/profile/miriam-adelson/
25,Leonard Lauder,$28.90 ,$29.40 ,88,New York,Estee Lauder,2,"Leonard Lauder spent three decades running his family's publicly traded cosmetics giant, Estée Lauder.
The elder son of the eponymous makeup maven, Lauder joined his mother's company in 1958.
He created the company's first R&D laboratory and started acquiring brands like MAC, Bobbi Brown and Aveda in the mid-1990s.
Lauder stepped down as CEO in 1999. He is now chairman emeritus and is known around the company as ""Chief Teaching Officer.""
He and his brother, Ronald, co-chair the Alzheimer's Drug Discovery Foundation, which has awarded over $150 million to fund trials in 19 countries.",https://www.forbes.com/profile/leonard-lauder/
26,Pierre Omidyar,$25.30 ,$21 ,54,Hawaii,"eBay, PayPal",3,"Pierre Omidyar founded online auction firm eBay in 1995 and now serves on the company's board.
In 2002 eBay bought online payment company PayPal and spun it off in 2014. Omidyar currently owns 5% of eBay and 6% of Paypal.
Through his Omidyar Network, launched in 2004, he's put over $1.5 billion into impact investments and nonprofits that tackle global problems.
A resident of Hawaii, Omidyar owns stakes in resort properties in California and Mexico and is developing real estate in Cabo San Lucas, Mexico.
He's also the founder of First Look Media, the parent company of online news site The Intercept and the entertainment company Topic Studios.
In October 2018, his network spun off its decade-old citizen engagement arm, which has doled out $326 million since its launch, and named it Luminate.",https://www.forbes.com/profile/pierre-omidyar/
27,Abigail Johnson,$25.20 ,$26.80 ,59,Massachusetts,money management,1,"Abigail Johnson has served as CEO of Fidelity Investments since 2014, when she took over for her father, and has been chairman since 2016.
Her grandfather, Edward Johnson II, founded the Boston-based mutual fund giant in 1946.
She owns an estimated 24.5% stake of the firm, which has $4.2 trillion in managed assets.
Johnson has embraced cryptocurrencies and, in 2018, Fidelity launched a platform that allows institutional investors to trade bitcoin and ether.
She worked summers at Fidelity through college and joined full-time as an analyst in 1988 after receiving a Harvard M.B.A.",https://www.forbes.com/profile/abigail-johnson/
28,Jim Simons,$24.40 ,$24.40 ,83,New York,hedge funds,3,"Jim Simons is the founder of Renaissance Technologies, an esteemed quantitative trading hedge fund firm that manages about $55 billion.
He founded Renaissance Technologies in 1982 and retired in 2010, but he still plays a role at Renaissance and benefits from its funds.
Renaissance Technologies is famous for its Medallion Fund, a $10 billion black-box strategy that is only open to Renaissance's owners and employees.
Simons has given $2.7 billion to philanthropic causes. His foundation is the primary funder of Math For America. He also supports autism research.
Simons used to chair the math department at Stony Brook University and was a codebreaker for the U.S. during the Vietnam War.",https://www.forbes.com/profile/jim-simons/
29,Dustin Moskovitz,$24.10 ,$24.80 ,37,California,Facebook,3,"Dustin Moskovitz helped launch Facebook in 2004 with then-roommate Mark Zuckerberg from their Harvard dorm.
After leaving the social network in 2008, he cofounded Asana, a workflow software company.
Asana went public in a direct listing on the New York Stock Exchange in September 2020.
Most of his net worth lies in his estimated 2% stake in Facebook.
Moskovitz and his wife have built the philanthropic foundation Good Ventures, which has given millions to malaria eradication and marriage equality.
Moskovitz and Tuna are also the primary backers of the Open Philanthropy Project, an organization that advises donors and makes grants.",https://www.forbes.com/profile/dustin-moskovitz/
30,Eric Schmidt,$23.90 ,$24.50 ,66,California,Google,2,"Eric Schmidt left the board of Google parent company Alphabet in June 2019 after 18 years; he stayed on as a technical advisor until February 2020.
Schmidt was Google's CEO from 2001 to 2011; prior to that he had stints as CEO of Novell and chief technology officer at Sun Microsystems.
Schmidt is a visiting innovation fellow at the Massachusetts Institute of Technology.
He co-founded Innovation Endeavors, a venture capital firm that has invested in Uber, SoFi, and Zymergen, among others.
In May 2015, his family's investment vehicle bought a 20% stake in hedge fund firm D.E. Shaw & Co. for an undisclosed price.",https://www.forbes.com/profile/eric-schmidt/
31,Rupert Murdoch & family,$23 ,$23.30 ,90,New York,"newspapers, TV network",1,"Murdoch controls a media empire that includes cable channel Fox News, The Times of London and The Wall Street Journal.
Murdoch sold most of Fox's movie studio, FX, and National Geographic Networks and its stake in Star India to Disney for $71.3 billion in March 2019.
Murdoch's son, Lachlan, runs the new Fox, which consists of its broadcast, cable news, business and sports networks.
Though several of his companies are known for their conservative tilt, he initially urged Mike Bloomberg to run for president against Donald Trump.
A native of Australia, Murdoch inherited a newspaper at age 22 after his father, a former war correspondent, passed away.",https://www.forbes.com/profile/rupert-murdoch/
32,Sam Bankman-Fried,$22.50 ,$26.50 ,29,Hong Kong,cryptocurrency,1,"Sam Bankman-Fried is the richest person in crypto, thanks to his FTX exchange and Alameda Research trading firm.
The son of two Stanford law professors, he studied physics at MIT but was drawn to ""effective altruism,"" the utilitarian-inflected notion of doing the most good possible.
So he took a job trading ETFs at a quant firm, donating a chunk of his salary to charity, then jumped into crypto trading in late 2017, when he spied a lucrative arbitrage opportunity.
Bankman-Fried launched his own exchange, FTX, in 2019. Built ""by traders, for traders,"" it's one of the leading exchanges for buying and selling crypto derivatives.
FTX raised $900 million from the likes of Coinbase Ventures and SoftBank in July 2021 at an $18 billion valuation, helping make Bankman-Fried one of the richest people under 30 in history.
Most of his wealth, which he says he will eventually donate to charity based on a philosophy called ""earning to give,"" is tied up in ownership of about half of FTX and a share of its FTT tokens.",https://www.forbes.com/profile/sam-bankman-fried/
33,Laurene Powell Jobs & family,$22.10 ,$17 ,57,California,"Apple, Disney",1,"Laurene Powell Jobs inherited billions of dollars of stock in Apple and Disney from her late husband, Apple cofounder Steve Jobs, who died in 2011.
In 2017, she bought a minority stake in the parent of the NBA's Washington Wizards and the NHL's Washington Capitals.
She also purchased stakes in several media outlets, including a majority of The Atlantic magazine; in mid 2020 she severed ties with Pop-Up Magazine.
She has been putting her fortune to work through Emerson Collective, a hybrid investment, social impact and philanthropic firm she founded in 2004.
She launched the Emerson Collective Foundation, now called Waverley Street Foundation, in 2016 with a gift of $1.2 billion, much of it in Disney shares.",https://www.forbes.com/profile/laurene-powell-jobs/
34,Jensen Huang,$21.30 ,$28.50 ,58,California,semiconductors,1,"Jensen Huang cofounded graphics-chip maker Nvidia in 1993, and has served as its CEO and president since inception.
Huang owns 3.6% of Nvidia, which went public in 1999.
Born in Taiwan, Huang moved to Thailand as a child, but his family sent him and his brother to the U.S as civil unrest mounted in the Asian nation.
Under Huang, Nvidia became a dominant force in computer gaming chips and has expanded to design chips for data centers and autonomous cars.
He's given Stanford University $30 million for an engineering center and $5 million to Oregon Health & Science University for cancer research labs.",https://www.forbes.com/profile/jensen-huang-1/
35,"Thomas Frist, Jr. & family",$20.80 ,$20.40 ,83,Tennessee,hospitals,1,"Thomas Frist Jr., a former Air Force flight surgeon, founded Hospital Corp. of America with his father in 1968.
He took it public for the third time in 2011 after two management buyouts and owns over 20% of the company.
HCA Healthcare owns and operates 187 hospitals and around 2,000 sites of care in 20 states in the U.S. and U.K.
Frist Jr. doesn't have an executive position at HCA, but his sons, Thomas Frist III and William Frist, are board members.",https://www.forbes.com/profile/thomas-frist-jr/
36,Ray Dalio,$20 ,$20 ,72,Connecticut,hedge funds,2,"Ray Dalio is the founder of the world's biggest hedge fund firm, Bridgewater Associates, which manages $154 billion.
Working to make sure Bridgewater survives him, Dalio moved in 2018 to turn Bridgewater into a partnership and give employees more of a stake in the firm.
Dalio grew up in a middle class Long Island neighborhood and started playing the markets at age 12, getting tips from golfers for whom he caddied.
In 1975, after earning an MBA from Harvard Business School, he launched Bridgewater from his two-bedroom New York City apartment.
Dalio has given about $1 billion to philanthropic causes. His Dalio Foundation has supported microfinance and inner-city education.",https://www.forbes.com/profile/ray-dalio/
36,Thomas Peterffy,$20 ,$22.40 ,77,Florida,discount brokerage,1,"A digital trading pioneer, Thomas Peterffy chairs Interactive Brokers, which markets its specialized trading platform to sophisticated investors.
He founded Interactive Brokers in 1993 after originally starting in market-making, and was CEO until December 2019.
In March 2017, he announced part of his market-making operation would phase out. It had been under attack by faster competitors.
Peterffy arrived in America in 1965 at age 21, the penniless descendant of Hungarian aristocrats who lost nearly everything to the Soviets.
He is a major landowner, with more than 500,000 acres, primarily located in his home state of Florida.",https://www.forbes.com/profile/thomas-peterffy/
38,Robert Pera,$19 ,$17.20 ,43,California,wireless networking gear,1,"Robert Pera is the founder and CEO of wireless equipment maker Ubiquiti Networks.
Ubiquiti, which had $1.2 billion in fiscal 2020 revenues, sells wireless broadband systems with a focus on emerging markets.
He owns nearly 75% of the publicly-traded firm.
Pera started his career at Apple in 2003, and within 10 months of the job, founded Ubiquiti. He started working at the company full-time in 2005.
He holds degrees in electrical engineering and Japanese from UC San Diego.",https://www.forbes.com/profile/robert-pera/
39,"Ernest Garcia, II.",$18.80 ,$17.10 ,64,Arizona,used cars,1,"Ernest Garcia, II is the biggest shareholder of Carvana, an online platform for selling used cars and making auto loans that conducted an IPO in 2017.
Carvana was founded by Garcia's son, Ernest Garcia, III, as a subsidiary of DriveTime Automotive and was later spun out.
Garcia II also owns and runs DriveTime Automotive, the nation's fourth-biggest used car retailer.
In 1990 when he was 33, Garcia pleaded guilty to a bank fraud charge related to his dealings with Lincoln Savings & Loan.",https://www.forbes.com/profile/ernest-garcia-ii/
40,Donald Newhouse,$18.10 ,$16.50 ,92,New York,media,1,"Donald Newhouse and his late brother, Samuel ""Si"" inherited the publishing and broadcasting empire Advance Publications decades ago.
Donald long oversaw the newspaper business that his father Sam built up from the daily Staten Island Advance.
His brother, Si, who ran magazine publisher Conde Nast for years, died in October 2017.
Advance Publications also has stakes in Discovery Communications and social news site Reddit.
Amid a tumultuous media environment, Conde Nast sold W Magazine, Brides and Golf Digest in 2019; it laid off 100 employees in May 2020.",https://www.forbes.com/profile/donald-newhouse/
41,Lukas Walton,$17.20 ,$17.30 ,35,Wyoming,Walmart,2,"Lukas Walton is the grandson of Walmart founder Sam Walton.
He inherited his fortune when his father, John Walton, died in a 2005 plane crash.
He received about one-third of his father's estate; his mother, Christy Walton, got about one-sixth.
He owns stakes in Walmart, First Solar and Arvest Bank, though he does not work for the companies.
Walton has donated at least $149 million to his family's namesake foundation, where he chairs the environment program committee.",https://www.forbes.com/profile/lukas-walton/
42,Hank & Doug Meijer,$16.90 ,$16.90 ,N/A,Michigan,supermarkets,2,"Brothers Hank and Doug Meijer together own Michigan-based supermarket chain Meijer, which has 230 stores in the Midwest.
The brothers took over the company from their father Frederik in 1990; they stepped down as co-CEOs in 2017.
Hank and Doug, both in their 60s, still serve on the board of the company, which has an estimated $19.5 billion in sales.
Their grandfather Hendrik, a Dutch immigrant, working with their father, started the company in 1934.
Hank's son Peter Meijer, elected to Congress from Michigan in 2020, was one of 10 Republicans who voted to impeach President Trump in January 2021.",https://www.forbes.com/profile/hank-doug-meijer/
43,Carl Icahn,$16.60 ,$17.50 ,85,Florida,investments,2,"Carl Icahn is one of Wall Street's most successful investors and has been shaking up corporate America for decades.
Icahn's primary investing vehicle is publicly traded Icahn Enterprises. He also runs an investment fund made up of his personal cash and money belonging to Icahn Enterprises.
He spent the first months of the Trump Administration advising Donald Trump on regulatory overhaul, but left the position amid controversy.
Icahn grew up in Far Rockaway, Queens. He graduated from Princeton with a degree in philosophy in 1957.
He has donated about $200 million to what is now the Icahn School of Medicine at Mount Sinai.",https://www.forbes.com/profile/carl-icahn/
43,"John Menard, Jr.",$16.60 ,$18.60 ,81,Wisconsin,home improvement stores,1,"John Menard's home improvement retailer brings in an estimated $11.8 billion in sales from over 300 stores.
His stores, which compete with Home Depot and Lowe's, are concentrated in the middle of the U.S., spanning from Wyoming to Ohio.
Menard first started a construction business in 1958, 20 years before Home Depot launched.
Menard has developed a reputation for keeping a tight grip on his business, requiring even top executives to punch a time clock every morning.
Menard sponsored the winning car at the 2019 Indy 500, his first win in nearly 40 years of involvement in racing.",https://www.forbes.com/profile/john-menard-jr/
45,Jay Chaudhry,$16.30 ,$19.90 ,62,Nevada,security software,N/A,"Jay Chaudhry is CEO of Zscaler, a cybersecurity firm he founded in 2008. It went public in March 2018.
He and his family own 42% of the Nasdaq-listed firm.
Before Zscaler, Chaudhry founded four other tech companies that were all acquired: SecureIT, CoreHarbor, CipherTrust and AirDefense.
In 1996, Chaudhry and his wife, Jyoti, both quit their jobs and used their life savings to start cybersecurity firm SecureIT, his first startup.
His hometown, a village in the Himalayas in India, did not have electricity or running water until he was in the 8th and 10th grade, respectively.
Chaudhry moved to the U.S. in 1980 to attend graduate school and now lives in Nevada, after relocating from the Bay Area.",https://www.forbes.com/profile/jay-chaudhry/
46,Donald Bren,$16.20 ,$16.20 ,89,California,real estate,3,"Donald Bren is America's richest real estate baron.
His Irvine Co. owns more than 126 million square feet of real estate, mostly in Southern California.
His empire includes more than 560 office buildings and 125 apartment complexes.
Bren owns a 97% stake in Manhattan's MetLife Building.
The son of a real estate investor, Bren worked as a carpenter's helper on his father's buildings.",https://www.forbes.com/profile/donald-bren/
47,Ken Griffin,$16.10 ,$21.10 ,52,Illinois,hedge funds,3,"Ken Griffin founded and runs Citadel, a Chicago-based hedge fund firm that manages roughly $39 billion in assets.
He founded Citadel in 1990 but first began trading from his Harvard dorm in 1987. He put a satellite dish on the roof to get real-time stock quotes.
He is the founder of Citadel Securities, one of Wall Street's biggest market-making firms, responsible for one of five stock trades in the U.S.
During the pandemic, Griffin funded the State Department's rescue of 800 U.S. citizens from Wuhan and donated $45 million to community initiatives in cities like Chicago and Miami.
Griffin has given $1.3 billion to philanthropic causes.",https://www.forbes.com/profile/ken-griffin/
48,Steve Cohen,$16 ,$15.90 ,65,Connecticut,hedge funds,3,"Steve Cohen oversees Point72 Asset Management, a $16 billion hedge fund firm that started managing outside capital in 2018.
For years Cohen ran SAC Capital, one of the most successful hedge funds ever.
Cohen was forced to shut down SAC Capital after the firm pleaded guilty to insider trading charges that cost Cohen $1.8 billion in penalties.
Point72 has reopened to outside money in 2018 after expiration of a two-year supervisory bar from the Securities and Exchange Commission.
Cohen has given $715 million to philanthropic causes over his lifetime, including causes related to veterans and children's health.",https://www.forbes.com/profile/steve-cohen/
